dt	f	t	l	d
2014061511	009	009	28	2599
2014061511	037	022	5	1168
2014061512	013	025	25	3469
2014061512	058	058	123	16589
2014061516	094	094	14	935
2014061516	025	033	9	1404
2014061516	022	033	11	1449
2014061517	022	022	21	2405
2014061517	010	094	26	4376
2014061517	009	009	23	614
2014061517	094	052	28	1809
2014061517	022	022	28	1819
2014061517	094	059	20	2589
2014061517	052	094	68	13362
2014061517	052	003	19	2458
2014061517	009	009	10	185
2014061517	052	056	10	1457
2014061517	052	056	14	1515
2014061517	033	022	9	1425
2014061517	022	020	23	2238
2014061517	037	037	24	4175
2014061517	059	058	22	3720
2014061517	059	094	20	3812
2014061518	058	056	173	11022
2014061518	003	026	18	1829
2014061518	056	059	14	2039
2014061518	056	059	12	2076
2014061518	003	001	130	13322
2014061518	025	022	49	2858
2014061518	020	020	105	8174
2014061518	058	058	25	4212
2014061518	094	059	28	2670
2014061518	094	059	28	2595
2014061518	010	010	19	3016
2014061518	056	052	38	4784
2014061519	010	010	23	2472
2014061519	009	009	72	9887
2014061519	009	009	69	9770
2014061519	009	009	12	359
2014061520	009	009	53	2805
2014061520	020	037	4	606
2014061520	009	010	30	839
2014061520	037	020	78	4706
2014061520	026	052	108	13693
2014061520	020	020	100	3128
2014061520	094	001	102	18627
2014061520	026	052	98	13483
2014061520	025	025	26	4143
2014061521	010	010	30	3681
2014061521	010	010	29	3424
2014061521	003	001	16	3363
2014061521	013	013	28	4498
2014061521	001	003	362	2160
2014061522	010	010	25	3579
2014061522	056	056	6	532
2014061523	010	010	12	1453
2014061523	022	022	5	234
2014061523	010	010	8	751
2014061523	020	037	23	2564
2014061523	020	037	23	2517
2014061523	052	056	21	3579
2014061523	037	010	38	4998
2014061523	037	010	37	4988
2014061603	003	026	155	24857
2014061604	003	026	147	25002
2014061607	010	003	11	1419
2014061608	094	059	47	6473
2014061608	052	026	19	3767
2014061608	009	013	11	1261
2014061608	058	052	19	3097
2014061611	037	003	17	3089
2014061612	001	001	30	3093
2014061612	010	010	164	19880
2014061613	010	010	160	19327
